(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;WordNumber;WordCoordinatesDWTK;Found in Word in Text;LetterPositionIndex In Word;WordNumberInVerse;Found In Verse
(207335, -64, 4);5;ה;39;(1, 1, 2, 11, 39);10;(1, 1, 2, 3, 10);תהו;2;3;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(207335, -64, 4);200;ר;103;(1, 1, 3, 23, 103);27;(1, 1, 3, 6, 27);אור;3;6;ויאמר אלהים יהי אור ויהי אור
(207335, -64, 4);30;ל;167;(1, 1, 5, 19, 167);44;(1, 1, 5, 5, 44);ולחשך;2;5;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(207335, -64, 4);30;ל;231;(1, 1, 6, 34, 231);60;(1, 1, 6, 8, 60);מבדיל;5;8;ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
(207335, -64, 4);30;ל;295;(1, 1, 7, 54, 295);77;(1, 1, 7, 14, 77);מעל;3;14;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(207335, -64, 4);6;ו;359;(1, 1, 9, 14, 359);93;(1, 1, 9, 3, 93);יקוו;4;3;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(207335, -64, 4);40;מ;423;(1, 1, 10, 26, 423);109;(1, 1, 10, 6, 109);המים;2;6;ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(207335, -64, 4);80;פ;487;(1, 1, 11, 41, 487);127;(1, 1, 11, 12, 127);פרי;1;12;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(207335, -64, 4);80;פ;551;(1, 1, 12, 36, 551);145;(1, 1, 12, 10, 145);פרי;1;10;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(207335, -64, 4);10;י;615;(1, 1, 14, 11, 615);162;(1, 1, 14, 3, 162);יהי;1;3;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(207335, -64, 4);10;י;679;(1, 1, 14, 75, 679);175;(1, 1, 14, 16, 175);ושנים;4;16;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(207335, -64, 4);1;א;743;(1, 1, 16, 26, 743);191;(1, 1, 16, 7, 191);את;1;7;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(207335, -64, 4);10;י;807;(1, 1, 17, 11, 807);205;(1, 1, 17, 3, 205);אלהים;4;3;ויתן אתם אלהים ברקיע השמים להאיר על הארץ
(207335, -64, 4);1;א;871;(1, 1, 18, 42, 871);220;(1, 1, 18, 10, 220);אלהים;1;10;ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
(207335, -64, 4);10;י;935;(1, 1, 20, 33, 935);237;(1, 1, 20, 9, 237);יעופף;1;9;ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
(207335, -64, 4);300;ש;999;(1, 1, 21, 40, 999);253;(1, 1, 21, 10, 253);הרמשת;4;10;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(207335, -64, 4);1;א;1063;(1, 1, 22, 15, 1063);270;(1, 1, 22, 4, 270);לאמר;2;4;ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
(207335, -64, 4);200;ר;1127;(1, 1, 24, 5, 1127);286;(1, 1, 24, 1, 286);ויאמר;5;1;ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
(207335, -64, 4);10;י;1191;(1, 1, 25, 13, 1191);303;(1, 1, 25, 4, 303);חית;2;4;ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
(207335, -64, 4);5;ה;1255;(1, 1, 26, 8, 1255);319;(1, 1, 26, 2, 319);אלהים;3;2;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(207335, -64, 4);200;ר;1319;(1, 1, 26, 72, 1319);333;(1, 1, 26, 16, 333);הרמש;2;16;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(207335, -64, 4);10;י;1383;(1, 1, 28, 2, 1383);350;(1, 1, 28, 1, 350);ויברך;2;1;ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(207335, -64, 4);5;ה;1447;(1, 1, 28, 66, 1447);366;(1, 1, 28, 17, 366);השמים;1;17;ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(207335, -64, 4);20;כ;1511;(1, 1, 29, 42, 1511);385;(1, 1, 29, 14, 385);כל;1;14;ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
(207335, -64, 4);40;ם;1575;(1, 1, 30, 23, 1575);404;(1, 1, 30, 6, 404);השמים;5;6;ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
(207335, -64, 4);300;ש;1639;(1, 1, 31, 18, 1639);425;(1, 1, 31, 6, 425);עשה;2;6;וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי
(207335, -64, 4);2;ב;1703;(1, 2, 2, 10, 1703);442;(1, 2, 2, 3, 442);ביום;1;3;ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
(207335, -64, 4);10;י;1767;(1, 2, 3, 13, 1767);457;(1, 2, 3, 4, 457);יום;1;4;ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות
(207335, -64, 4);5;ה;1831;(1, 2, 4, 16, 1831);473;(1, 2, 4, 4, 473);והארץ;2;4;אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים
(207335, -64, 4);4;ד;1895;(1, 2, 5, 30, 1895);489;(1, 2, 5, 9, 489);השדה;3;9;וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
(207335, -64, 4);6;ו;1959;(1, 2, 6, 14, 1959);508;(1, 2, 6, 5, 508);והשקה;1;5;ואד יעלה מן הארץ והשקה את כל פני האדמה
(207335, -64, 4);6;ו;2023;(1, 2, 7, 48, 2023);525;(1, 2, 7, 13, 525);ויהי;1;13;וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
(207335, -64, 4);5;ה;2087;(1, 2, 9, 9, 2087);542;(1, 2, 9, 2, 542);יהוה;4;2;ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל ועץ החיים בתוך הגן ועץ הדעת טוב ורע
(207335, -64, 4);50;נ;2151;(1, 2, 10, 2, 2151);560;(1, 2, 10, 1, 560);ונהר;2;1;ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים
(207335, -64, 4);20;כ;2215;(1, 2, 11, 21, 2215);577;(1, 2, 11, 7, 577);כל;1;7;שם האחד פישון הוא הסבב את כל ארץ החוילה אשר שם הזהב
(207335, -64, 4);6;ו;2279;(1, 2, 13, 15, 2279);594;(1, 2, 13, 4, 594);גיחון;4;4;ושם הנהר השני גיחון הוא הסובב את כל ארץ כוש
(207335, -64, 4);6;ו;2343;(1, 2, 14, 45, 2343);611;(1, 2, 14, 11, 611);הוא;2;11;ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת
(207335, -64, 4);4;ד;2407;(1, 2, 16, 18, 2407);627;(1, 2, 16, 5, 627);האדם;3;5;ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל
(207335, -64, 4);6;ו;2471;(1, 2, 17, 44, 2471);646;(1, 2, 17, 13, 646);תמות;3;13;ומעץ הדעת טוב ורע לא תאכל ממנו כי ביום אכלך ממנו מות תמות
(207335, -64, 4);4;ד;2535;(1, 2, 19, 18, 2535);663;(1, 2, 19, 5, 663);האדמה;3;5;ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
(207335, -64, 4);50;נ;2599;(1, 2, 19, 82, 2599);683;(1, 2, 19, 25, 683);נפש;1;25;ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
(207335, -64, 4);70;ע;2663;(1, 2, 20, 53, 2663);700;(1, 2, 20, 14, 700);עזר;1;14;ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו
(207335, -64, 4);6;ו;2727;(1, 2, 22, 1, 2727);715;(1, 2, 22, 1, 715);ויבן;1;1;ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם
(207335, -64, 4);40;ם;2791;(1, 2, 23, 19, 2791);732;(1, 2, 23, 5, 732);עצם;3;5;ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת
(207335, -64, 4);2;ב;2855;(1, 2, 24, 26, 2855);751;(1, 2, 24, 9, 751);ודבק;3;9;על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
(207335, -64, 4);40;מ;2919;(1, 3, 1, 13, 2919);766;(1, 3, 1, 4, 766);מכל;1;4;והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן
(207335, -64, 4);400;ת;2983;(1, 3, 2, 2, 2983);785;(1, 3, 2, 1, 785);ותאמר;2;1;ותאמר האשה אל הנחש מפרי עץ הגן נאכל
(207335, -64, 4);6;ו;3047;(1, 3, 3, 38, 3047);803;(1, 3, 3, 11, 803);ולא;1;11;ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון
(207335, -64, 4);50;נ;3111;(1, 3, 5, 24, 3111);821;(1, 3, 5, 7, 821);ממנו;3;7;כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע
(207335, -64, 4);5;ה;3175;(1, 3, 6, 29, 3175);837;(1, 3, 6, 9, 837);הוא;1;9;ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל
(207335, -64, 4);10;י;3239;(1, 3, 7, 9, 3239);851;(1, 3, 7, 2, 851);עיני;2;2;ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת
(207335, -64, 4);5;ה;3303;(1, 3, 8, 18, 3303);867;(1, 3, 8, 5, 867);אלהים;3;5;וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן
(207335, -64, 4);5;ה;3367;(1, 3, 9, 9, 3367);882;(1, 3, 9, 2, 882);יהוה;4;2;ויקרא יהוה אלהים אל האדם ויאמר לו איכה
