(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;WordNumber;WordCoordinatesDWTK;Found in Word in Text;LetterPositionIndex In Word;WordNumberInVerse;Found In Verse
(237919, -36, 4);1;א;31;(1, 1, 2, 3, 31);8;(1, 1, 2, 1, 8);והארץ;3;1;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(237919, -36, 4);40;מ;67;(1, 1, 2, 39, 67);18;(1, 1, 2, 11, 18);מרחפת;1;11;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(237919, -36, 4);200;ר;103;(1, 1, 3, 23, 103);27;(1, 1, 3, 6, 27);אור;3;6;ויאמר אלהים יהי אור ויהי אור
(237919, -36, 4);6;ו;139;(1, 1, 4, 36, 139);37;(1, 1, 4, 10, 37);האור;3;10;וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
(237919, -36, 4);10;י;175;(1, 1, 5, 27, 175);46;(1, 1, 5, 7, 46);לילה;2;7;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(237919, -36, 4);200;ר;211;(1, 1, 6, 14, 211);56;(1, 1, 6, 4, 56);רקיע;1;4;ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
(237919, -36, 4);30;ל;247;(1, 1, 7, 6, 247);65;(1, 1, 7, 2, 65);אלהים;2;2;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(237919, -36, 4);2;ב;283;(1, 1, 7, 42, 283);74;(1, 1, 7, 11, 74);ובין;2;11;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(237919, -36, 4);100;ק;319;(1, 1, 8, 13, 319);83;(1, 1, 8, 3, 83);לרקיע;3;3;ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
(237919, -36, 4);40;ם;355;(1, 1, 9, 10, 355);92;(1, 1, 9, 2, 92);אלהים;5;2;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(237919, -36, 4);5;ה;391;(1, 1, 9, 46, 391);101;(1, 1, 9, 11, 101);היבשה;5;11;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(237919, -36, 4);200;ר;427;(1, 1, 10, 30, 427);110;(1, 1, 10, 7, 110);קרא;2;7;ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(237919, -36, 4);200;ר;463;(1, 1, 11, 17, 463);119;(1, 1, 11, 4, 119);הארץ;3;4;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(237919, -36, 4);200;ר;499;(1, 1, 11, 53, 499);130;(1, 1, 11, 15, 130);זרעו;2;15;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(237919, -36, 4);70;ע;535;(1, 1, 12, 20, 535);140;(1, 1, 12, 5, 140);מזריע;5;5;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(237919, -36, 4);200;ר;571;(1, 1, 12, 56, 571);150;(1, 1, 12, 15, 150);וירא;3;15;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(237919, -36, 4);1;א;607;(1, 1, 14, 3, 607);160;(1, 1, 14, 1, 160);ויאמר;3;1;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(237919, -36, 4);6;ו;643;(1, 1, 14, 39, 643);168;(1, 1, 14, 9, 168);היום;3;9;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(237919, -36, 4);10;י;679;(1, 1, 14, 75, 679);175;(1, 1, 14, 16, 175);ושנים;4;16;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(237919, -36, 4);10;י;715;(1, 1, 15, 35, 715);183;(1, 1, 15, 8, 183);ויהי;4;8;והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
(237919, -36, 4);3;ג;751;(1, 1, 16, 34, 751);193;(1, 1, 16, 9, 193);הגדל;2;9;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(237919, -36, 4);6;ו;787;(1, 1, 16, 70, 787);201;(1, 1, 16, 17, 201);ואת;1;17;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(237919, -36, 4);200;ר;823;(1, 1, 17, 27, 823);208;(1, 1, 17, 6, 208);להאיר;5;6;ויתן אתם אלהים ברקיע השמים להאיר על הארץ
(237919, -36, 4);6;ו;859;(1, 1, 18, 30, 859);217;(1, 1, 18, 7, 217);ובין;1;7;ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
(237919, -36, 4);10;י;895;(1, 1, 19, 15, 895);227;(1, 1, 19, 5, 227);יום;1;5;ויהי ערב ויהי בקר יום רביעי
(237919, -36, 4);6;ו;931;(1, 1, 20, 29, 931);236;(1, 1, 20, 8, 236);ועוף;1;8;ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
(237919, -36, 4);5;ה;967;(1, 1, 21, 8, 967);245;(1, 1, 21, 2, 245);אלהים;3;2;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(237919, -36, 4);200;ר;1003;(1, 1, 21, 44, 1003);254;(1, 1, 21, 11, 254);אשר;3;11;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(237919, -36, 4);1;א;1039;(1, 1, 21, 80, 1039);264;(1, 1, 21, 21, 264);אלהים;1;21;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(237919, -36, 4);30;ל;1075;(1, 1, 22, 27, 1075);273;(1, 1, 22, 7, 273);ומלאו;3;7;ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
(237919, -36, 4);10;י;1111;(1, 1, 23, 11, 1111);282;(1, 1, 23, 3, 282);ויהי;4;3;ויהי ערב ויהי בקר יום חמישי
(237919, -36, 4);30;ל;1147;(1, 1, 24, 25, 1147);292;(1, 1, 24, 7, 292);למינה;1;7;ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
(237919, -36, 4);1;א;1183;(1, 1, 25, 5, 1183);301;(1, 1, 25, 2, 301);אלהים;1;2;ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
(237919, -36, 4);30;ל;1219;(1, 1, 25, 41, 1219);310;(1, 1, 25, 11, 310);כל;2;11;ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
(237919, -36, 4);5;ה;1255;(1, 1, 26, 8, 1255);319;(1, 1, 26, 2, 319);אלהים;3;2;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
