(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;WordNumber;WordCoordinatesDWTK;Found in Word in Text;LetterPositionIndex In Word;WordNumberInVerse;Found In Verse
(191627, 52, 4);2;ב;7;(1, 1, 1, 7, 7);2;(1, 1, 1, 2, 2);ברא;1;2;בראשית ברא אלהים את השמים ואת הארץ
(191627, 52, 4);200;ר;59;(1, 1, 2, 31, 59);16;(1, 1, 2, 9, 16);ורוח;2;9;והארץ היתה תהו ובהו וחשך על פני תהום ורוח אלהים מרחפת על פני המים
(191627, 52, 4);10;י;111;(1, 1, 4, 8, 111);29;(1, 1, 4, 2, 29);אלהים;4;2;וירא אלהים את האור כי טוב ויבדל אלהים בין האור ובין החשך
(191627, 52, 4);10;י;163;(1, 1, 5, 15, 163);43;(1, 1, 5, 4, 43);יום;1;4;ויקרא אלהים לאור יום ולחשך קרא לילה ויהי ערב ויהי בקר יום אחד
(191627, 52, 4);2;ב;215;(1, 1, 6, 18, 215);57;(1, 1, 6, 5, 57);בתוך;1;5;ויאמר אלהים יהי רקיע בתוך המים ויהי מבדיל בין מים למים
(191627, 52, 4);40;מ;267;(1, 1, 7, 26, 267);70;(1, 1, 7, 7, 70);המים;2;7;ויעש אלהים את הרקיע ויבדל בין המים אשר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי כן
(191627, 52, 4);100;ק;319;(1, 1, 8, 13, 319);83;(1, 1, 8, 3, 83);לרקיע;3;3;ויקרא אלהים לרקיע שמים ויהי ערב ויהי בקר יום שני
(191627, 52, 4);10;י;371;(1, 1, 9, 26, 371);96;(1, 1, 9, 6, 96);השמים;4;6;ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשה ויהי כן
(191627, 52, 4);40;מ;423;(1, 1, 10, 26, 423);109;(1, 1, 10, 6, 109);המים;2;6;ויקרא אלהים ליבשה ארץ ולמקוה המים קרא ימים וירא אלהים כי טוב
(191627, 52, 4);70;ע;475;(1, 1, 11, 29, 475);122;(1, 1, 11, 7, 122);מזריע;5;7;ויאמר אלהים תדשא הארץ דשא עשב מזריע זרע עץ פרי עשה פרי למינו אשר זרעו בו על הארץ ויהי כן
(191627, 52, 4);1;א;527;(1, 1, 12, 12, 527);138;(1, 1, 12, 3, 138);דשא;3;3;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(191627, 52, 4);10;י;579;(1, 1, 12, 64, 579);152;(1, 1, 12, 17, 152);כי;2;17;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
(191627, 52, 4);40;ם;631;(1, 1, 14, 27, 631);165;(1, 1, 14, 6, 165);השמים;5;6;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(191627, 52, 4);10;י;683;(1, 1, 15, 3, 683);176;(1, 1, 15, 1, 176);והיו;3;1;והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
(191627, 52, 4);200;ר;735;(1, 1, 16, 18, 735);189;(1, 1, 16, 5, 189);המארת;4;5;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(191627, 52, 4);6;ו;787;(1, 1, 16, 70, 787);201;(1, 1, 16, 17, 201);ואת;1;17;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(191627, 52, 4);6;ו;839;(1, 1, 18, 10, 839);213;(1, 1, 18, 3, 213);ובלילה;1;3;ולמשל ביום ובלילה ולהבדיל בין האור ובין החשך וירא אלהים כי טוב
(191627, 52, 4);10;י;891;(1, 1, 19, 11, 891);225;(1, 1, 19, 3, 225);ויהי;4;3;ויהי ערב ויהי בקר יום רביעי
(191627, 52, 4);1;א;943;(1, 1, 20, 41, 943);239;(1, 1, 20, 11, 239);הארץ;2;11;ויאמר אלהים ישרצו המים שרץ נפש חיה ועוף יעופף על הארץ על פני רקיע השמים
(191627, 52, 4);5;ה;995;(1, 1, 21, 36, 995);252;(1, 1, 21, 9, 252);החיה;4;9;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(191627, 52, 4);6;ו;1047;(1, 1, 21, 88, 1047);266;(1, 1, 21, 23, 266);טוב;2;23;ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(191627, 52, 4);200;ר;1099;(1, 1, 22, 51, 1099);279;(1, 1, 22, 13, 279);בארץ;3;13;ויברך אתם אלהים לאמר פרו ורבו ומלאו את המים בימים והעוף ירב בארץ
(191627, 52, 4);5;ה;1151;(1, 1, 24, 29, 1151);292;(1, 1, 24, 7, 292);למינה;5;7;ויאמר אלהים תוצא הארץ נפש חיה למינה בהמה ורמש וחיתו ארץ למינה ויהי כן
(191627, 52, 4);1;א;1203;(1, 1, 25, 25, 1203);306;(1, 1, 25, 7, 306);ואת;2;7;ויעש אלהים את חית הארץ למינה ואת הבהמה למינה ואת כל רמש האדמה למינהו וירא אלהים כי טוב
(191627, 52, 4);5;ה;1255;(1, 1, 26, 8, 1255);319;(1, 1, 26, 2, 319);אלהים;3;2;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(191627, 52, 4);2;ב;1307;(1, 1, 26, 60, 1307);330;(1, 1, 26, 13, 330);ובכל;2;13;ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(191627, 52, 4);5;ה;1359;(1, 1, 27, 28, 1359);343;(1, 1, 27, 7, 343);אלהים;3;7;ויברא אלהים את האדם בצלמו בצלם אלהים ברא אתו זכר ונקבה ברא אתם
(191627, 52, 4);6;ו;1411;(1, 1, 28, 30, 1411);357;(1, 1, 28, 8, 357);ורבו;1;8;ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(191627, 52, 4);400;ת;1463;(1, 1, 28, 82, 1463);369;(1, 1, 28, 20, 369);הרמשת;5;20;ויברך אתם אלהים ויאמר להם אלהים פרו ורבו ומלאו את הארץ וכבשה ורדו בדגת הים ובעוף השמים ובכל חיה הרמשת על הארץ
(191627, 52, 4);200;ר;1515;(1, 1, 29, 46, 1515);386;(1, 1, 29, 15, 386);הארץ;3;15;ויאמר אלהים הנה נתתי לכם את כל עשב זרע זרע אשר על פני כל הארץ ואת כל העץ אשר בו פרי עץ זרע זרע לכם יהיה לאכלה
(191627, 52, 4);30;ל;1567;(1, 1, 30, 15, 1567);402;(1, 1, 30, 4, 402);ולכל;4;4;ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
(191627, 52, 4);10;י;1619;(1, 1, 30, 67, 1619);418;(1, 1, 30, 20, 418);ויהי;4;20;ולכל חית הארץ ולכל עוף השמים ולכל רומש על הארץ אשר בו נפש חיה את כל ירק עשב לאכלה ויהי כן
(191627, 52, 4);10;י;1671;(1, 1, 31, 50, 1671);434;(1, 1, 31, 15, 434);הששי;4;15;וירא אלהים את כל אשר עשה והנה טוב מאד ויהי ערב ויהי בקר יום הששי
(191627, 52, 4);300;ש;1723;(1, 2, 2, 30, 1723);446;(1, 2, 2, 7, 446);עשה;2;7;ויכל אלהים ביום השביעי מלאכתו אשר עשה וישבת ביום השביעי מכל מלאכתו אשר עשה
(191627, 52, 4);10;י;1775;(1, 2, 3, 21, 1775);458;(1, 2, 3, 5, 458);השביעי;6;5;ויברך אלהים את יום השביעי ויקדש אתו כי בו שבת מכל מלאכתו אשר ברא אלהים לעשות
(191627, 52, 4);40;מ;1827;(1, 2, 4, 12, 1827);472;(1, 2, 4, 3, 472);השמים;3;3;אלה תולדות השמים והארץ בהבראם ביום עשות יהוה אלהים ארץ ושמים
(191627, 52, 4);10;י;1879;(1, 2, 5, 14, 1879);485;(1, 2, 5, 5, 485);יהיה;1;5;וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
(191627, 52, 4);40;ם;1931;(1, 2, 5, 66, 1931);499;(1, 2, 5, 19, 499);ואדם;4;19;וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
(191627, 52, 4);6;ו;1983;(1, 2, 7, 8, 1983);514;(1, 2, 7, 2, 514);יהוה;3;2;וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
(191627, 52, 4);8;ח;2035;(1, 2, 7, 60, 2035);528;(1, 2, 7, 16, 528);חיה;1;16;וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
